PIT,BENCH,PRIORITY,TOTAL,WASTE,ORE ,GRADE1 ,GRADE2 ,GRADE3 ,GRADE4 ,FLAG1 ,FLAG2 ,FLAG3 ,FLAG4
 10 ,  444 ,  10.0336033144565 ,  6.711568 ,  5.722665 ,  0.988903 ,  61.31 ,  3.65 ,  2.25 ,  38.69 ,  0 ,  1 ,  0 ,  1 
 10 ,  432 ,  11.0759327175753 ,  5.854248 ,  4.891352 ,  0.962896 ,  61.26 ,  3.74 ,  2.22 ,  38.74 ,  0 ,  1 ,  0 ,  1 
 10 ,  420 ,  12.3551252008846 ,  5.023407 ,  4.094545 ,  0.928862 ,  61.41 ,  3.66 ,  2.17 ,  38.59 ,  0 ,  1 ,  0 ,  1 
 10 ,  408 ,  14.2180450002569 ,  4.145443 ,  3.255775 ,  0.889668 ,  61.59 ,  3.41 ,  2.08 ,  38.41 ,  0 ,  1 ,  0 ,  1 
 10 ,  396 ,  16.3829228400693 ,  3.436719 ,  2.578492 ,  0.858227 ,  61.6 ,  3.4 ,  2.02 ,  38.4 ,  0 ,  1 ,  0 ,  1 
 10 ,  384 ,  18.6774591692909 ,  2.720134 ,  1.940292 ,  0.779842 ,  61.66 ,  3.31 ,  1.92 ,  38.34 ,  0 ,  1 ,  0 ,  1 
 10 ,  372 ,  20.7068570763399 ,  1.967267 ,  1.342772 ,  0.624495 ,  62.08 ,  3.31 ,  1.89 ,  37.92 ,  0 ,  1 ,  0 ,  1 
 10 ,  360 ,  21.9325975818266 ,  1.094876 ,  0.725757 ,  0.369119 ,  62.09 ,  3.51 ,  1.81 ,  37.91 ,  0 ,  1 ,  0 ,  1 
 10 ,  348 ,  28.7197245990314 ,  0.582714 ,  0.322774 ,  0.25994 ,  62.14 ,  3.92 ,  1.75 ,  37.86 ,  0 ,  1 ,  0 ,  1 
 10 ,  336 ,  39.0611257298867 ,  0.303643 ,  0.119907 ,  0.183736 ,  62.9 ,  4.16 ,  1.57 ,  37.1 ,  0 ,  1 ,  0 ,  1 
 10 ,  324 ,  46.0837003916522 ,  0.090131 ,  0.025375 ,  0.064756 ,  62.75 ,  4.62 ,  1.39 ,  37.25 ,  0 ,  1 ,  0 ,  1 
 11 ,  528 ,  1 ,  0.001931 ,  0.001931 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 11 ,  516 ,  1 ,  0.007188 ,  0.007188 ,  0 ,  0 ,  0 ,  0 ,  100 ,  1 ,  0 ,  0 ,  1 
 12 ,  528 ,  6.1660195903829 ,  0.014599 ,  0.013286 ,  0.001313 ,  57.44 ,  5.8 ,  2.46 ,  42.56 ,  0 ,  1 ,  0 ,  1 
 12 ,  516 ,  7.10533197822327 ,  2.035751 ,  1.829153 ,  0.206598 ,  60.16 ,  5.54 ,  2.35 ,  39.84 ,  0 ,  1 ,  0 ,  1 
 12 ,  504 ,  6.38384885555484 ,  3.287663 ,  2.994709 ,  0.292954 ,  60.42 ,  5.45 ,  2.33 ,  39.58 ,  0 ,  1 ,  0 ,  1 
